Date,Net
2015-12-11,1.0372
2015-12-10,1.0414
2015-12-09,1.0449
2015-12-08,1.0418
2015-12-07,1.0603
2015-12-04,1.0574
2015-12-03,1.0770
2015-12-02,1.0693
2015-12-01,1.0351
2015-11-30,1.0284
2015-11-27,1.0254
2015-11-26,1.0832
2015-11-25,1.0893
2015-11-24,1.0814
2015-11-23,1.0812
2015-11-20,1.0874
2015-11-19,1.0883
2015-11-18,1.0722
2015-11-17,1.0843
2015-11-16,1.0858
2015-11-13,1.0766
2015-11-12,1.0900
2015-11-11,1.1011
2015-11-10,1.1005
2015-11-09,1.1033
2015-11-06,1.0890
2015-11-05,1.0635
2015-11-04,1.0417
2015-11-03,0.9947
2015-11-02,0.9978
2015-10-30,1.0147
2015-10-29,1.0145
2015-10-28,1.0118
2015-10-27,1.0314
2015-10-26,1.0303
2015-10-23,1.0265
2015-10-22,1.0123
2015-10-21,0.9969
2015-10-20,1.0282
2015-10-19,1.0155
2015-10-16,1.0159
2015-10-15,1.0018
2015-10-14,0.9768
2015-10-13,0.9881
2015-10-12,0.9886
2015-10-09,0.9577
2015-10-08,0.9456
2015-09-30,0.9199
2015-09-29,0.9133
2015-09-28,0.9313
2015-09-25,0.9281
2015-09-24,0.9428
2015-09-23,0.9361
2015-09-22,0.9571
2015-09-21,0.9486
2015-09-18,0.9307
2015-09-17,0.9261
2015-09-16,0.9456
2015-09-15,0.9017
2015-09-14,0.9369
2015-09-11,0.9584
2015-09-10,0.9609
2015-09-09,0.9728
2015-09-08,0.9533
2015-09-07,0.9274
2015-09-02,0.9553
2015-09-01,0.9543
2015-08-31,0.9585
2015-08-28,0.9543
2015-08-27,0.9146
2015-08-26,0.8645
2015-08-25,0.8752
2015-08-24,0.9427
2015-08-21,1.0306
2015-08-20,1.0791
2015-08-19,1.1129
2015-08-18,1.0961
2015-08-17,1.1671
2015-08-14,1.1655
2015-08-13,1.1658
2015-08-12,1.1495
2015-08-11,1.1639
2015-08-10,1.1696
2015-08-07,1.118
2015-08-06,1.0957
2015-08-05,1.1049
2015-08-04,1.1273
2015-08-03,1.0915
2015-07-31,1.0896
2015-07-30,1.0898
2015-07-29,1.1215
2015-07-28,1.0881
2015-07-27,1.0922
2015-07-24,1.1926
2015-07-23,1.2139
2015-07-22,1.1868
2015-07-21,1.1883
2015-07-20,1.1854
2015-07-17,1.1839
2015-07-16,1.1424
2015-07-15,1.1369
2015-07-14,1.1789
2015-07-13,1.207
2015-07-10,1.1781
2015-07-09,1.1221
2015-07-08,1.0593
2015-07-07,1.135
2015-07-06,1.1539
2015-07-03,1.1228
2015-07-02,1.1848
2015-07-01,1.2262
2015-06-30,1.2872
2015-06-29,1.2081
2015-06-26,1.2491
2015-06-25,1.3516
2015-06-24,1.4002
2015-06-23,1.3735
2015-06-19,1.3309
2015-06-18,1.4114
2015-06-17,1.4689
2015-06-16,1.448
2015-06-15,1.4915
2015-06-12,1.5225
2015-06-11,1.5147
2015-06-10,1.5152
2015-06-09,1.5177
2015-06-08,1.5301
2015-06-05,1.5112
2015-06-04,1.496
2015-06-03,1.4861
2015-06-02,1.4923
2015-06-01,1.4681
2015-05-29,1.402
2015-05-28,1.3993
2015-05-27,1.5006
2015-05-26,1.5048
2015-05-25,1.4723
2015-05-22,1.4258
2015-05-21,1.3932
2015-05-20,1.3674
2015-05-19,1.3542
2015-05-18,1.3111
2015-05-15,1.3231
2015-05-14,1.3474
2015-05-13,1.3526
2015-05-12,1.3614
2015-05-11,1.3456
2015-05-08,1.308
2015-05-07,1.282
2015-05-06,1.3062
2015-05-05,1.3187
2015-05-04,1.3726
2015-04-30,1.3615
2015-04-29,1.3685
2015-04-28,1.3593
2015-04-27,1.3787
2015-04-24,1.3504
