Date,Net
2015-11-25,0.8544
2015-11-24,0.8357
2015-11-23,0.8256
2015-11-20,0.8307
2015-11-19,0.8128
2015-11-18,0.7906
2015-11-17,0.8081
2015-11-16,0.8101
2015-11-13,0.7877
2015-11-12,0.8027
2015-11-11,0.8054
2015-11-10,0.7911
2015-11-09,0.7843
2015-11-06,0.7723
2015-11-05,0.7540
2015-11-04,0.7495
2015-11-03,0.7123
2015-11-02,0.7108
2015-10-30,0.7253
2015-10-29,0.7232
2015-10-28,0.7169
2015-10-27,0.7336
2015-10-26,0.7286
2015-10-23,0.7215
2015-10-22,0.7010
2015-10-21,0.6731
2015-10-20,0.7236
2015-10-19,0.7088
2015-10-16,0.7101
2015-10-15,0.6993
2015-10-14,0.6780
2015-10-13,0.6865
2015-10-12,0.6788
2015-10-09,0.6477
2015-10-08,0.6344
2015-09-30,0.6074
2015-09-29,0.6020
2015-09-28,0.6131
2015-09-25,0.5996
2015-09-24,0.6227
2015-09-23,0.6143
2015-09-22,0.6249
2015-09-21,0.6179
2015-09-18,0.5927
2015-09-17,0.5833
2015-09-16,0.5937
2015-09-15,0.55
2015-09-14,0.5831
2015-09-11,0.6288
2015-09-10,0.6211
2015-09-09,0.6315
2015-09-08,0.609
2015-09-07,0.583
2015-09-02,0.5819
2015-09-01,0.5988
2015-08-31,0.6334
2015-08-28,0.6566
2015-08-27,0.6145
2015-08-26,0.5853
2015-08-25,0.6051
2015-08-24,0.663
2015-08-21,0.7344
2015-08-20,0.7835
2015-08-19,0.8139
2015-08-18,0.7926
2015-08-17,0.8563
2015-08-14,0.8392
2015-08-13,0.8321
2015-08-12,0.8132
2015-08-11,0.8263
2015-08-10,0.8179
2015-08-07,0.7752
2015-08-06,0.7514
2015-08-05,0.7527
2015-08-04,0.7593
2015-08-03,0.7168
2015-07-31,0.7436
2015-07-30,0.7566
2015-07-29,0.7788
2015-07-28,0.7387
2015-07-27,0.7592
2015-07-24,0.8242
2015-07-23,0.838
2015-07-22,0.8154
2015-07-21,0.8037
2015-07-20,0.7888
2015-07-17,0.7689
2015-07-16,0.7254
2015-07-15,0.7104
2015-07-14,0.7508
2015-07-13,0.7401
2015-07-10,0.6926
2015-07-09,0.662
2015-07-08,0.6321
2015-07-07,0.6662
2015-07-06,0.72
2015-07-03,0.7524
2015-07-02,0.8125
2015-07-01,0.8799
2015-06-30,0.9374
2015-06-29,0.8956
2015-06-26,0.9579
2015-06-25,1.0563
2015-06-24,1.0998
2015-06-23,1.0678
2015-06-19,1.0544
2015-06-18,1.1305
2015-06-17,1.1604
2015-06-16,1.1358
2015-06-15,1.1778
2015-06-12,1.1948
2015-06-11,1.1729
2015-06-10,1.1511
2015-06-09,1.1263
2015-06-08,1.1363
2015-06-05,1.151
2015-06-04,1.1385
2015-06-03,1.1343
2015-06-02,1.1198
2015-06-01,
2015-05-29,1.023
2015-05-28,
2015-05-27,
2015-05-26,
2015-05-25,
2015-05-22,1.0272
2015-05-21,
2015-05-20,
2015-05-19,
2015-05-18,
2015-05-15,1.0021
2015-05-14,
2015-05-13,
2015-05-12,
2015-05-11,
2015-05-08,1.0003
2015-05-07,
2015-05-06,
2015-05-05,
2015-05-04,1
