Date,Close
2015-10-12,3287.66
2015-10-09,3183.15
2015-10-08,3143.36
2015-09-30,3052.78
2015-09-29,3038.14
2015-09-28,3100.76
2015-09-25,3092.35
2015-09-24,3142.69
2015-09-23,3115.89
2015-09-22,3185.62
2015-09-21,3060.86
2015-09-18,3097.92
2015-09-17,3086.06
2015-09-16,3152.26
2015-09-15,3005.17
2015-09-14,3114.80
2015-09-11,3200.23
2015-09-10,3197.89
2015-09-09,3243.09
2015-09-08,3170.45
2015-09-07,3080.42
2015-09-02,3160.17
2015-09-01,3166.62
2015-08-31,3205.99
2015-08-28,3232.35
2015-08-27,3083.59
2015-08-26,2927.29
2015-08-25,2964.97
2015-08-24,3209.91
2015-08-21,3507.74
2015-08-20,3664.29
2015-08-19,3794.11
2015-08-18,3748.16
2015-08-17,3993.67
2015-08-14,3965.33
2015-08-13,3954.56
2015-08-12,3886.32
2015-08-11,3927.91
2015-08-10,3928.42
2015-08-07,3744.21
2015-08-06,3661.54
2015-08-05,3694.57
2015-08-04,3756.54
2015-08-03,3622.91
2015-07-31,3663.73
2015-07-30,3705.77
2015-07-29,3789.17
2015-07-28,3663.00
2015-07-27,3725.56
2015-07-24,4070.91
2015-07-23,4123.92
2015-07-22,4026.04
2015-07-21,4017.68
2015-07-20,3992.11
2015-07-17,3957.35
2015-07-16,3823.18
2015-07-15,3805.70
2015-07-14,3924.49
2015-07-13,3970.39
2015-07-10,3877.80
2015-07-09,3709.33
2015-07-08,3373.54
2015-07-07,3727.12
2015-07-06,3775.91
2015-07-03,3686.92
2015-07-02,3912.77
2015-07-01,4053.70
2015-06-30,4277.22
2015-06-29,4053.03
2015-06-26,4192.87
2015-06-25,4527.78
2015-06-24,4690.15
2015-06-23,4576.49
2015-06-19,4478.36
2015-06-18,4785.36
2015-06-17,4967.90
2015-06-16,4887.43
2015-06-15,5062.99
2015-06-12,5166.35
2015-06-11,5121.59
2015-06-10,5106.04
2015-06-09,5113.53
2015-06-08,5131.88
2015-06-05,5023.10
2015-06-04,4947.10
2015-06-03,4909.98
2015-06-02,4910.53
2015-06-01,4828.74
2015-05-29,4611.74
2015-05-28,4620.27
2015-05-27,4941.71
2015-05-26,4910.90
2015-05-25,4813.80
2015-05-22,4657.60
2015-05-21,4529.42
2015-05-20,4446.29
2015-05-19,4417.55
2015-05-18,4283.49
2015-05-15,4308.69
2015-05-14,4378.31
2015-05-13,4375.76
2015-05-12,4401.22
2015-05-11,4333.58
2015-05-08,4205.92
2015-05-07,4112.21
2015-05-06,4229.27
2015-05-05,4298.71
2015-05-04,4480.46
2015-04-30,4441.65
2015-04-29,4476.62
2015-04-28,4476.21
2015-04-27,4527.40
2015-04-24,4393.69
2015-04-23,4414.51
2015-04-22,4398.49
2015-04-21,4293.62
2015-04-20,4217.08
2015-04-17,4287.30
2015-04-16,4194.82
2015-04-15,4084.16
2015-04-14,4135.56
2015-04-13,4121.71
2015-04-10,4034.31
2015-04-09,3957.53
2015-04-08,3994.81
2015-04-07,3961.38
2015-04-03,3863.93
2015-04-02,3825.78
2015-04-01,3810.29
2015-03-31,3747.90
2015-03-30,3786.57
2015-03-27,3691.10
2015-03-26,3682.09
2015-03-25,3660.73
2015-03-24,3691.41
2015-03-23,3687.73
2015-03-20,3617.32
2015-03-19,3582.27
2015-03-18,3577.30
2015-03-17,3502.85
2015-03-16,3449.30
2015-03-13,3372.91
2015-03-12,3349.32
2015-03-11,3290.90
2015-03-10,3286.07
2015-03-09,3302.41
2015-03-06,3241.19
2015-03-05,3248.48
2015-03-04,3279.53
2015-03-03,3263.05
2015-03-02,3336.28
2015-02-27,3310.30
2015-02-26,3298.36
2015-02-25,3228.84
2015-02-17,3246.91
2015-02-16,3222.36
2015-02-13,3203.83
2015-02-12,3173.42
2015-02-11,3157.70
2015-02-10,3141.59
2015-02-09,3095.12
2015-02-06,3075.91
2015-02-05,3136.53
2015-02-04,3174.13
2015-02-03,3204.91
2015-02-02,3128.30
2015-01-30,3210.36
2015-01-29,3262.30
2015-01-28,3305.74
2015-01-27,3352.96
2015-01-26,3383.18
2015-01-23,3351.76
2015-01-22,3343.34
2015-01-21,3323.61
2015-01-20,3173.05
2015-01-19,3116.35
2015-01-16,3376.50
2015-01-15,3336.46
2015-01-14,3222.44
2015-01-13,3235.30
2015-01-12,3229.32
2015-01-09,3285.41
2015-01-08,3293.46
2015-01-07,3373.95
2015-01-06,3351.45
