Date,Close
2015-10-26,6346.73
2015-10-23,6275.43
2015-10-22,6081.02
2015-10-21,5864.69
2015-10-20,6319.39
2015-10-19,6173.33
2015-10-16,6156.22
2015-10-15,6053.37
2015-10-14,5849.76
2015-10-13,5934.97
2015-10-12,5849.44
2015-10-09,5622.21
2015-10-08,5522.80
2015-09-30,5278.68
2015-09-29,5295.89
2015-09-28,5396.69
2015-09-25,5256.9
2015-09-24,5458.22
2015-09-23,5411.42
2015-09-22,5492.82
2015-09-21,5423.72
2015-09-18,5259.84
2015-09-17,5202.53
2015-09-16,5278.12
2015-09-15,4961.84
2015-09-14,5204.75
2015-09-11,5526.88
2015-09-10,5502.34
2015-09-09,5582.05
2015-09-08,5423.09
2015-09-07,5187.95
2015-09-02,5187.51
2015-09-01,5206.03
2015-08-31,5432.51
2015-08-28,5715.65
2015-08-27,5346.94
2015-08-26,5084.97
2015-08-25,5301.39
2015-08-24,5826.33
2015-08-21,6426.73
2015-08-20,6917.3
2015-08-19,7138.52
2015-08-18,6943.19
2015-08-17,7555.48
2015-08-14,7443.26
2015-08-13,7405.59
2015-08-12,7207.92
2015-08-11,7318.79
2015-08-10,7306.83
2015-08-07,6895.35
2015-08-06,6574.61
2015-08-05,6621.09
2015-08-04,6694.42
2015-08-03,6248.75
2015-07-31,6623.54
2015-07-30,6732.07
2015-07-29,6989.64
2015-07-28,6742.91
2015-07-27,6812.15
2015-07-24,7399.28
2015-07-23,7543.25
2015-07-22,7340.03
2015-07-21,7277.93
2015-07-20,7199.79
2015-07-17,7127.09
2015-07-16,6788.48
2015-07-15,6667.7
2015-07-14,6986.6
2015-07-13,6899.32
2015-07-10,6631.6
2015-07-09,6314.89
2015-07-08,6015.99
2015-07-07,6269.5
2015-07-06,6617.1
2015-07-03,6612.6
2015-07-02,6914.86
2015-07-01,7255.85
2015-06-30,7620.93
2015-06-29,7314.83
2015-06-26,7874.01
2015-06-25,8632.14
2015-06-24,9071
2015-06-23,8898.55
2015-06-19,8747.43
2015-06-18,9354.88
2015-06-17,9683.12
2015-06-16,9459.4
2015-06-15,9936.53
2015-06-12,10205.2
2015-06-11,9989.61
2015-06-10,9795.34
2015-06-09,9549.63
2015-06-08,9589.88
2015-06-05,9834.07
2015-06-04,9761.47
2015-06-03,9914.21
2015-06-02,9932.48
2015-06-01,9457.92
2015-05-29,8808.97
2015-05-28,8626.17
2015-05-27,9179.36
2015-05-26,9093.54
2015-05-25,8708.31
2015-05-22,8540.73
2015-05-21,8462.74
2015-05-20,8133.1
2015-05-19,7927.19
2015-05-18,7683.41
2015-05-15,7443.38
2015-05-14,7467.3
2015-05-13,7454.54
2015-05-12,7437.56
2015-05-11,7281.55
2015-05-08,6962.14
2015-05-07,6653.14
2015-05-06,6742.44
2015-05-05,6744.54
2015-05-04,6932.11
2015-04-30,6850.64
2015-04-29,6809.14
2015-04-28,6643.02
2015-04-27,6851.44
2015-04-24,6826.45
