Date,Close
2015-09-29,6554.17
2015-09-28,6678.99
2015-09-25,6543.37
2015-09-24,6797.97
2015-09-23,6715.36
2015-09-22,6838.43
2015-09-21,6758.94
2015-09-18,6484.89
2015-09-17,6381.44
2015-09-16,6491.97
2015-09-15,6018.99
2015-09-14,6374.56
2015-09-11,6881.33
2015-09-10,6793.83
2015-09-09,6908.61
2015-09-08,6682.12
2015-09-07,6383.53
2015-09-02,6355.77
2015-09-01,6521.13
2015-08-31,6892.02
2015-08-28,7152.77
2015-08-27,6702.96
2015-08-26,6397.54
2015-08-25,6614.77
2015-08-24,7204.6
2015-08-21,7916.96
2015-08-20,8440.09
2015-08-19,8766.15
2015-08-18,8538.15
2015-08-17,9239.29
2015-08-14,9049.05
2015-08-13,8963.58
2015-08-12,8759.01
2015-08-11,8905.23
2015-08-10,8813.25
2015-08-07,8339.372
2015-08-06,8063.7285
2015-08-05,8076.2844
2015-08-04,8149.137
2015-08-03,7686.2822
2015-07-31,7970.2275
2015-07-30,8124.4221
2015-07-29,8337.3918
2015-07-28,7912.0289
2015-07-27,8136.5795
2015-07-24,8861.472
2015-07-23,9008.4551
2015-07-22,8750.937
2015-07-21,8657.1725
2015-07-20,8512.0189
2015-07-17,8315.309
2015-07-16,7839.3451
2015-07-15,7628.7768
2015-07-14,8137.6105
2015-07-13,8049.6478
2015-07-10,7532.8672
2015-07-09,7055.3984
2015-07-08,6621.0714
2015-07-07,6970.8
2015-07-06,7464.81
2015-07-03,7742.39
2015-07-02,8292.08
2015-07-01,8958.91
2015-06-30,9567.33
2015-06-29,9084.44
2015-06-26,9651.77
2015-06-25,10608.93
2015-06-24,11047.833
2015-06-23,10740.8353
2015-06-19,10583.5521
2015-06-18,11332.7566
2015-06-17,11596.5733
2015-06-16,11335.6832
2015-06-15,11694.234
2015-06-12,11808.0247
2015-06-11,11548.4737
2015-06-10,11295.9986
2015-06-09,11011.4658
2015-06-08,11084.7635
2015-06-05,11162.4626
2015-06-04,11023.0211
2015-06-03,11039.9136
2015-06-02,10924.8435
2015-06-01,10481.43
2015-05-29,9902.02
2015-05-28,9849.96
2015-05-27,10487.64
2015-05-26,10297.44
2015-05-25,10003.28
2015-05-22,9749.37
2015-05-21,9576.47
2015-05-20,9167.33
2015-05-19,8959.26
2015-05-18,8607.64
2015-05-15,8361.24
2015-05-14,8365.48
2015-05-13,8286.45
2015-05-12,8199.86
2015-05-11,7977.23
2015-05-08,7576.67
2015-05-07,7265.66
2015-05-06,7373.99
2015-05-05,7493.5
2015-05-04,7756.92
